"","Target","Correlation","Slope","r","p","q"
"1100","HTR2A","GATA1",-0.0300041731681767,-0.0321609843793181,0.407665789185184,0.631957747547293
"1101","HTR2A","ZNF586",-0.0344590131802677,-0.0358004910659551,0.412122213852062,0.634151155632139
"1102","HTR2A","NFIA",0.029410999647052,0.0310792884575219,0.410971225162992,0.634151155632139
"1103","HTR2A","NRF1",0.0273109824001011,0.0307635594678978,0.415742765082626,0.63737034205682
"1104","HTR2A","RBAK",-0.0247359999061833,-0.0344351357130992,0.421532098176445,0.639339272692024
"1105","HTR2A","ZNF670",-0.0285099290070727,-0.0345949016966215,0.419379941610997,0.639339272692024
"1106","HTR2A","ZNF551",0.0341062809130003,0.0303988810784143,0.42162661868179,0.639339272692024
"1107","HTR2A","HIF3A",0.0286536222148709,0.0297481648561571,0.430650023572402,0.648307075197443
"1108","HTR2A","SMAD9",0.0301441756617616,0.0298379562165947,0.429918000627573,0.648307075197443
"1109","HTR2A","MLXIPL",-0.0237753780620942,-0.0288232370603909,0.445775194065826,0.662650519243981
"1110","HTR2A","ZNF132",-0.0319938231328938,-0.0329220071764287,0.442233048340533,0.662650519243981
"1111","HTR2A","SIX2",0.0230805272771793,0.0288715220883414,0.445013180407848,0.662650519243981
"1112","HTR2A","SOX1",-0.0283572982708456,-0.0287751840027981,0.446534282751939,0.662650519243981
"1113","HTR2A","SOX10",-0.0193564583269015,-0.0285110560022761,0.450719766773454,0.666489867888406
"1114","HTR2A","ZIC5",0.0225597372817493,0.027837724842331,0.461489318353532,0.680003695241777
"1115","HTR2A","ZNF607",0.0200136193275176,0.0271513207903438,0.472614047220392,0.693943865108814
"1116","HTR2A","ZNF264",0.0282252807010327,0.0304114274117405,0.477827852339401,0.698864799719762
"1117","HTR2A","RFX6",-0.0345388557062084,-0.030308665614939,0.479317344651923,0.698864799719762
"1118","HTR2A","RAB1B",-0.0222758703891698,-0.0262716783380024,0.487394969305912,0.705707299307518
"1119","HTR2A","NFYC",0.027570395205801,0.029783367651299,0.48697066144369,0.705707299307518
"1120","HTR2A","BATF",0.0239538807242896,0.0260474730320607,0.490809306580269,0.708191975238658
"1121","HTR2A","RBPJ",-0.0265963985598541,-0.0252583683437813,0.504043219892634,0.724779388604236
"1122","HTR2A","SRF",0.0222736517374784,0.024751774759313,0.512637178724335,0.734603792192603
"1123","HTR2A","ZNF565",0.0232150114796161,0.0278120562167863,0.516269350613106,0.737275065772827
"1124","HTR2A","AR",0.0238656819052123,0.0243881327292481,0.518255728703769,0.737585798189323
"1125","HTR2A","FOXI3",0.0225955268747387,0.0247290937790229,0.524071611159773,0.743326060726617
"1126","HTR2A","ZNF124",-0.021027513290073,-0.0271686455710184,0.526025617053994,0.743568414615306
"1127","HTR2A","RAB1A",0.0213905036219515,0.0255938622816802,0.534610263115111,0.74556133484548
"1128","HTR2A","RAB4A",0.0207881694406567,0.0232733435559297,0.537566050407983,0.74556133484548
"1129","HTR2A","HLF",0.0210026063673268,0.0235297217271039,0.533677698515891,0.74556133484548
"1130","HTR2A","ZNF555",0.0254137325821999,0.0267532172624276,0.532374458497259,0.74556133484548
"1131","HTR2A","MEF2D",0.0196242431391309,0.0236996351976922,0.530726385994237,0.74556133484548
"1132","HTR2A","PAX1",-0.0201962246188078,-0.0232723983194872,0.538162977910047,0.74556133484548
"1133","HTR2A","ZFHX3",0.0214420353341238,0.023082814782153,0.541479550228959,0.747672094190318
"1134","HTR2A","SP1",-0.0166368721250684,-0.0222596922488707,0.555996278712823,0.755213186394941
"1135","HTR2A","TBX19",-0.0171817291993088,-0.0253005178091569,0.554875469878896,0.755213186394941
"1136","HTR2A","ZNF223",0.0229525841338953,0.0255578372255989,0.550856263867485,0.755213186394941
"1137","HTR2A","DLX1",0.01983020217344,0.0226273006348899,0.549489706487108,0.755213186394941
"1138","HTR2A","KLF8",-0.022420311559606,-0.0222601540732522,0.555988081064948,0.755213186394941
"1139","HTR2A","CDC5L",-0.0252401467739304,-0.0247739194387791,0.563144978334334,0.759972349402645
"1140","HTR2A","HHEX",0.0209570194673451,0.0248149603791317,0.56249836201874,0.759972349402645
"1141","HTR2A","MGA",0.0224309101204454,0.0294880456522855,0.568150730850183,0.764254370208149
"1142","HTR2A","SIX4",-0.0169506668894013,-0.0213508805995851,0.572241186805538,0.767281591311606
"1143","HTR2A","RIT2",-0.0181155260400012,-0.0210594216745813,0.577770390628467,0.767617463220731
"1144","HTR2A","CUX2",0.0204444324525743,0.0210043847179466,0.578493465958679,0.767617463220731
"1145","HTR2A","ZNF282",0.0242022241651175,0.0237413870745084,0.579529449229416,0.767617463220731
"1146","HTR2A","PROP1",-0.0198955618783085,-0.0209291681258315,0.579854918260265,0.767617463220731
"1147","HTR2A","HBP1",0.0175219231370923,0.0206108070752663,0.585633926145672,0.770376489598566
"1148","HTR2A","LHX2",0.0205871538114793,0.020687376141884,0.584241581188882,0.770376489598566
"1149","HTR2A","TEAD1",-0.0106486961465612,-0.0203078561932449,0.591157851382363,0.77519755983159
"1150","HTR2A","HTR1A",0.0193865524994762,0.020142494811011,0.59444683099221,0.777066860576024
